/*
 * File: /result.txt
 * Created Date: Thursday November 30th 2023
 * Author: Zihan
 * -----
 * Last Modified: Thursday, 30th November 2023 12:58:48 pm
 * Modified By: the developer formerly known as Zihan at <wzh4464@gmail.com>
 * -----
 * HISTORY:
 * Date      		By   	Comments
 * ----------		------	---------------------------------------------------------
 */

[11/30 12:52:51 dam-vp]: [Prompt Finetuning] Epoch: [45/50], Step: [30/74], Training loss: 2.3562560081481934, device: cuda:2
[11/30 12:52:51 dam-vp]: [Prompt Finetuning] Epoch: [45/50], Step: [41/74], Training loss: 2.3538336753845215, device: cuda:0
[11/30 12:52:51 dam-vp]: [Prompt Finetuning] Epoch: [45/50], Step: [33/74], Training loss: 2.14046311378479, device: cuda:1
[11/30 12:52:51 dam-vp]: [Prompt Finetuning] Epoch: [45/50], Step: [42/74], Training loss: 2.285722494125366, device: cuda:0
[11/30 12:52:51 dam-vp]: [Prompt Finetuning] Epoch: [45/50], Step: [31/74], Training loss: 2.664395570755005, device: cuda:2
[11/30 12:52:51 dam-vp]: [Prompt Finetuning] Epoch: [45/50], Step: [34/74], Training loss: 2.6463117599487305, device: cuda:1
[11/30 12:52:52 dam-vp]: [Prompt Finetuning] Epoch: [45/50], Step: [32/74], Training loss: 2.3069589138031006, device: cuda:2
[11/30 12:52:52 dam-vp]: [Prompt Finetuning] Epoch: [45/50], Step: [43/74], Training loss: 2.0369949340820312, device: cuda:0
[11/30 12:52:52 dam-vp]: [Prompt Finetuning] Epoch: [45/50], Step: [35/74], Training loss: 2.33998441696167, device: cuda:1
[11/30 12:52:53 dam-vp]: [Prompt Finetuning] Epoch: [45/50], Step: [33/74], Training loss: 2.376798152923584, device: cuda:2
[11/30 12:52:53 dam-vp]: [Prompt Finetuning] Epoch: [45/50], Step: [44/74], Training loss: 2.4610090255737305, device: cuda:0
[11/30 12:52:53 dam-vp]: [Prompt Finetuning] Epoch: [45/50], Step: [36/74], Training loss: 2.622168779373169, device: cuda:1
[11/30 12:52:53 dam-vp]: [Prompt Finetuning] Epoch: [45/50], Step: [34/74], Training loss: 2.9788920879364014, device: cuda:2
[11/30 12:52:53 dam-vp]: [Prompt Finetuning] Epoch: [45/50], Step: [45/74], Training loss: 2.341066598892212, device: cuda:0
[11/30 12:52:53 dam-vp]: [Prompt Finetuning] Epoch: [45/50], Step: [37/74], Training loss: 2.6164369583129883, device: cuda:1
[11/30 12:52:54 dam-vp]: [Prompt Finetuning] Epoch: [45/50], Step: [35/74], Training loss: 2.093878746032715, device: cuda:2
[11/30 12:52:54 dam-vp]: [Prompt Finetuning] Epoch: [45/50], Step: [46/74], Training loss: 2.221011161804199, device: cuda:0
[11/30 12:52:54 dam-vp]: [Prompt Finetuning] Epoch: [45/50], Step: [38/74], Training loss: 2.259631872177124, device: cuda:1
[11/30 12:52:55 dam-vp]: [Prompt Finetuning] Epoch: [45/50], Step: [36/74], Training loss: 2.267888307571411, device: cuda:2
[11/30 12:52:55 dam-vp]: [Prompt Finetuning] Epoch: [45/50], Step: [47/74], Training loss: 2.2801809310913086, device: cuda:0
[11/30 12:52:55 dam-vp]: [Prompt Finetuning] Epoch: [45/50], Step: [39/74], Training loss: 2.78055739402771, device: cuda:1
